date,hour,timezone,isEvent,isHoliday
2024-12-09,06,PST,0,0
2024-12-09,07,PST,0,0
2024-12-09,08,PST,0,0
2024-12-09,09,PST,0,0
2024-12-09,10,PST,0,0
2024-12-09,11,PST,0,0
2024-12-09,12,PST,0,0
2024-12-09,13,PST,0,0
2024-12-09,14,PST,0,0
2024-12-09,15,PST,0,0
2024-12-09,16,PST,0,0
2024-12-09,17,PST,0,0
2024-12-09,18,PST,0,0
2024-12-09,19,PST,0,0
2024-12-09,20,PST,0,0
2024-12-09,21,PST,0,0
2024-12-09,22,PST,0,0
2024-12-09,23,PST,0,0
2024-12-10,00,PST,0,0
2024-12-10,01,PST,0,0
2024-12-10,02,PST,0,0
2024-12-10,03,PST,0,0
2024-12-10,04,PST,0,0
2024-12-10,05,PST,0,0
2024-12-10,06,PST,0,0
2024-12-10,07,PST,0,0
2024-12-10,08,PST,0,0
2024-12-10,09,PST,0,0
2024-12-10,10,PST,0,0
2024-12-10,11,PST,0,0
2024-12-10,12,PST,0,0
2024-12-10,13,PST,0,0
2024-12-10,14,PST,0,0
2024-12-10,15,PST,0,0
2024-12-10,16,PST,0,0
2024-12-10,17,PST,0,0
2024-12-10,18,PST,0,0
2024-12-10,19,PST,0,0
2024-12-10,20,PST,0,0
2024-12-10,21,PST,0,0
2024-12-10,22,PST,0,0
2024-12-10,23,PST,0,0
2024-12-11,00,PST,0,0
2024-12-11,01,PST,0,0
2024-12-11,02,PST,0,0
2024-12-11,03,PST,0,0
2024-12-11,04,PST,0,0
2024-12-11,05,PST,0,0
2024-12-11,06,PST,0,0
2024-12-11,07,PST,0,0
2024-12-11,08,PST,0,0
2024-12-11,09,PST,0,0
2024-12-11,10,PST,0,0
2024-12-11,11,PST,0,0
2024-12-11,12,PST,0,0
2024-12-11,13,PST,0,0
2024-12-11,14,PST,0,0
2024-12-11,15,PST,0,0
2024-12-11,16,PST,0,0
2024-12-11,17,PST,0,0
2024-12-11,18,PST,0,0
2024-12-11,19,PST,0,0
2024-12-11,20,PST,0,0
2024-12-11,21,PST,0,0
2024-12-11,22,PST,0,0
2024-12-11,23,PST,0,0
2024-12-12,00,PST,0,0
2024-12-12,01,PST,0,0
2024-12-12,02,PST,0,0
2024-12-12,03,PST,0,0
2024-12-12,04,PST,0,0
2024-12-12,05,PST,0,0
2024-12-12,06,PST,0,0
2024-12-12,07,PST,0,0
2024-12-12,08,PST,0,0
2024-12-12,09,PST,0,0
2024-12-12,10,PST,0,0
2024-12-12,11,PST,0,0
2024-12-12,12,PST,0,0
2024-12-12,13,PST,0,0
2024-12-12,14,PST,0,0
2024-12-12,15,PST,0,0
2024-12-12,16,PST,0,0
2024-12-12,17,PST,0,0
2024-12-12,18,PST,0,0
2024-12-12,19,PST,0,0
2024-12-12,20,PST,0,0
2024-12-12,21,PST,0,0
2024-12-12,22,PST,0,0
2024-12-12,23,PST,0,0
2024-12-13,00,PST,0,0
2024-12-13,01,PST,0,0
2024-12-13,02,PST,0,0
2024-12-13,03,PST,0,0
2024-12-13,04,PST,0,0
2024-12-13,05,PST,0,0
2024-12-13,06,PST,0,0
2024-12-13,07,PST,0,0
2024-12-13,08,PST,0,0
2024-12-13,09,PST,0,0
2024-12-13,10,PST,0,0
2024-12-13,11,PST,0,0
2024-12-13,12,PST,0,0
2024-12-13,13,PST,0,0
2024-12-13,14,PST,0,0
2024-12-13,15,PST,0,0
2024-12-13,16,PST,0,0
2024-12-13,17,PST,0,0
2024-12-13,18,PST,0,0
2024-12-13,19,PST,0,0
2024-12-13,20,PST,0,0
2024-12-13,21,PST,0,0
2024-12-13,22,PST,0,0
2024-12-13,23,PST,0,0
2024-12-14,00,PST,0,0
2024-12-14,01,PST,0,0
2024-12-14,02,PST,0,0
2024-12-14,03,PST,0,0
2024-12-14,04,PST,0,0
2024-12-14,05,PST,0,0
2024-12-14,06,PST,0,0
2024-12-14,07,PST,0,0
2024-12-14,08,PST,0,0
2024-12-14,09,PST,0,0
2024-12-14,10,PST,0,0
2024-12-14,11,PST,0,0
2024-12-14,12,PST,0,0
2024-12-14,13,PST,0,0
2024-12-14,14,PST,0,0
2024-12-14,15,PST,0,0
2024-12-14,16,PST,0,0
2024-12-14,17,PST,0,0
2024-12-14,18,PST,0,0
2024-12-14,19,PST,0,0
2024-12-14,20,PST,0,0
