date,hour,timezone,temperature_feel_like,rain_1h,clouds_all,weather_Fog,weather_Rain,weather_Clouds,weather_Clear,weather_Snow,weather_Thunderstorm
2021-12-07,21,America/Vancouver,275.82,0.42,100.0,0,1,0,0,0,0
2021-12-08,11,America/Vancouver,275.92,0.25,20.0,0,1,0,0,0,0
2021-12-08,12,America/Vancouver,276.7,0.0,20.0,0,0,1,0,0,0
2021-12-08,13,America/Vancouver,277.08,0.0,20.0,0,0,1,0,0,0
2021-12-08,14,America/Vancouver,276.45,0.0,75.0,0,0,1,0,0,0
2021-12-08,15,America/Vancouver,277.59,0.25,20.0,0,1,0,0,0,0
2021-12-08,16,America/Vancouver,278.03,0.0,33.0,0,0,1,0,0,0
2021-12-08,17,America/Vancouver,277.27,0.0,20.0,0,0,1,0,0,0
2021-12-08,18,America/Vancouver,276.37,0.0,20.0,0,0,1,0,0,0
2021-12-08,19,America/Vancouver,275.64,0.25,20.0,0,1,0,0,0,0
2021-12-08,20,America/Vancouver,273.94,0.0,20.0,0,0,1,0,0,0
2021-12-08,21,America/Vancouver,273.27,0.0,40.0,0,0,1,0,0,0
2021-12-09,11,America/Vancouver,275.17,0.35,75.0,0,1,0,0,0,0
2021-12-09,12,America/Vancouver,277.48,0.31,75.0,0,1,0,0,0,0
2021-12-09,13,America/Vancouver,277.25,0.25,75.0,0,1,0,0,0,0
2021-12-09,14,America/Vancouver,275.88,0.25,75.0,0,1,0,0,0,0
2021-12-09,15,America/Vancouver,274.54,0.36,20.0,0,1,0,0,0,0
2021-12-09,16,America/Vancouver,273.77,0.0,40.0,0,0,1,0,0,0
2021-12-09,17,America/Vancouver,272.31,0.25,20.0,0,1,0,0,0,0
2021-12-09,18,America/Vancouver,272.15,0.0,75.0,0,0,1,0,0,0
2021-12-09,19,America/Vancouver,274.17,0.0,40.0,0,0,1,0,0,0
2021-12-09,20,America/Vancouver,275.02,0.0,40.0,0,0,1,0,0,0
2021-12-09,21,America/Vancouver,274.8,0.0,73.0,0,0,1,0,0,0
2021-12-10,11,America/Vancouver,272.29,0.32,100.0,0,1,0,0,0,0
2021-12-10,12,America/Vancouver,272.15,1.59,100.0,0,1,0,0,0,0
2021-12-10,13,America/Vancouver,272.12,2.38,100.0,0,1,0,0,0,0
2021-12-10,14,America/Vancouver,274.12,1.47,100.0,0,1,0,0,0,0
2021-12-10,15,America/Vancouver,273.97,0.47,100.0,0,1,0,0,0,0
2021-12-10,16,America/Vancouver,271.54,0.92,100.0,0,1,0,0,0,0
2021-12-10,17,America/Vancouver,274.25,0.62,100.0,0,1,0,0,0,0
2021-12-10,18,America/Vancouver,272.98,1.16,100.0,0,1,0,0,0,0
2021-12-10,19,America/Vancouver,273.14,1.02,100.0,0,1,0,0,0,0
2021-12-10,20,America/Vancouver,273.61,2.44,100.0,0,1,0,0,0,0
2021-12-10,21,America/Vancouver,274.31,1.92,100.0,0,1,0,0,0,0
2021-12-11,11,America/Vancouver,276.15,0.25,75.0,0,1,0,0,0,0
2021-12-11,12,America/Vancouver,277.08,0.29,75.0,0,1,0,0,0,0
2021-12-11,13,America/Vancouver,277.17,1.0,75.0,0,1,0,0,0,0
2021-12-11,14,America/Vancouver,275.38,0.25,75.0,0,1,0,0,0,0
2021-12-11,15,America/Vancouver,274.13,0.34,40.0,0,1,0,0,0,0
2021-12-11,16,America/Vancouver,273.5,0.75,75.0,0,1,0,0,0,0
2021-12-11,17,America/Vancouver,272.29,0.43,75.0,0,1,0,0,0,0
2021-12-11,18,America/Vancouver,271.82,0.21,40.0,0,1,0,0,0,0
2021-12-11,19,America/Vancouver,276.23,0.0,43.0,0,0,1,0,0,0
2021-12-11,20,America/Vancouver,273.56,0.0,75.0,0,0,1,0,0,0
2021-12-11,21,America/Vancouver,271.46,0.0,75.0,0,0,1,0,0,0
2021-12-12,11,America/Vancouver,271.86,0.73,100.0,1,1,0,0,0,0
2021-12-12,12,America/Vancouver,272.72,1.08,75.0,0,1,0,0,0,0
2021-12-12,13,America/Vancouver,273.36,0.38,75.0,0,1,0,0,0,0
2021-12-12,14,America/Vancouver,272.31,1.1,75.0,0,1,0,0,0,0
2021-12-12,15,America/Vancouver,271.53,0.64,75.0,0,1,0,0,0,0
2021-12-12,16,America/Vancouver,272.84,0.25,100.0,0,1,0,0,0,0
2021-12-12,17,America/Vancouver,273.29,1.3,75.0,0,1,0,0,0,0
2021-12-12,18,America/Vancouver,274.31,0.51,75.0,0,1,0,0,0,0
2021-12-12,19,America/Vancouver,272.77,0.25,75.0,0,1,0,0,0,0
2021-12-12,20,America/Vancouver,273.8,0.25,75.0,0,1,0,0,0,0
2021-12-12,21,America/Vancouver,273.13,1.12,100.0,0,1,0,0,0,0
2021-12-13,11,America/Vancouver,276.13,0.25,100.0,0,1,0,0,0,0
2021-12-13,12,America/Vancouver,274.95,0.0,100.0,0,0,1,0,0,0
2021-12-13,13,America/Vancouver,275.86,0.0,100.0,0,0,1,0,0,0
2021-12-13,14,America/Vancouver,275.88,0.25,100.0,0,1,0,0,0,0
2021-12-13,15,America/Vancouver,275.77,0.0,100.0,0,1,0,0,0,0
2021-12-13,16,America/Vancouver,275.19,0.25,100.0,0,1,0,0,0,0
2021-12-13,17,America/Vancouver,276.43,0.51,100.0,0,1,0,0,0,0
2021-12-13,18,America/Vancouver,276.21,0.25,100.0,0,1,0,0,0,0
2021-12-13,19,America/Vancouver,275.82,0.36,100.0,0,1,0,0,0,0
2021-12-13,20,America/Vancouver,276.11,0.93,100.0,0,1,0,0,0,0
2021-12-13,21,America/Vancouver,273.8,0.87,100.0,0,1,0,0,0,0
2021-12-14,11,America/Vancouver,271.17,0.25,75.0,0,1,0,0,0,0
2021-12-14,12,America/Vancouver,271.11,0.89,75.0,0,1,0,0,0,0
2021-12-14,13,America/Vancouver,271.43,0.51,75.0,0,1,0,0,0,0
2021-12-14,14,America/Vancouver,272.15,0.38,75.0,0,1,0,0,0,0
2021-12-14,15,America/Vancouver,273.48,0.25,75.0,0,1,0,0,0,0
2021-12-14,16,America/Vancouver,273.38,0.0,75.0,0,0,1,0,0,0
2021-12-14,17,America/Vancouver,272.52,0.25,75.0,0,1,0,0,0,0
2021-12-14,18,America/Vancouver,272.14,0.38,75.0,0,1,0,0,0,0
2021-12-14,19,America/Vancouver,272.69,0.0,100.0,0,1,0,0,0,0
2021-12-14,20,America/Vancouver,271.48,0.25,100.0,0,1,0,0,0,0
2021-12-14,21,America/Vancouver,271.32,0.19,100.0,0,1,0,0,0,0
2021-12-15,11,America/Vancouver,273.94,0.0,100.0,0,0,1,0,0,0
2021-12-15,12,America/Vancouver,276.14,0.25,75.0,0,1,0,0,0,0
2021-12-15,13,America/Vancouver,276.45,0.0,75.0,0,0,1,0,0,0
2021-12-15,14,America/Vancouver,275.57,0.0,100.0,0,0,1,0,0,0
2021-12-15,15,America/Vancouver,275.36,0.25,100.0,0,1,0,0,0,0
2021-12-15,16,America/Vancouver,276.2,0.0,100.0,0,0,1,0,0,0
2021-12-15,17,America/Vancouver,275.88,0.0,100.0,0,0,1,0,0,0
2021-12-15,18,America/Vancouver,275.88,0.0,100.0,0,0,1,0,0,0
2021-12-15,19,America/Vancouver,275.58,0.25,100.0,0,1,0,0,0,0
2021-12-15,20,America/Vancouver,274.53,0.0,100.0,0,0,1,0,0,0
2021-12-15,21,America/Vancouver,275.09,0.25,100.0,0,1,0,0,0,0
2021-12-16,11,America/Vancouver,276.72,0.51,57.0,0,1,0,0,0,0
2021-12-16,12,America/Vancouver,274.25,0.29,49.0,0,1,0,0,0,0
2021-12-16,13,America/Vancouver,272.54,0.24,40.0,0,1,0,0,0,0
2021-12-16,14,America/Vancouver,273.45,0.25,20.0,0,1,0,0,0,0
2021-12-16,15,America/Vancouver,273.49,0.0,20.0,0,0,1,0,0,0
2021-12-16,16,America/Vancouver,274.13,0.0,20.0,0,0,1,0,0,0
2021-12-16,17,America/Vancouver,274.02,0.0,20.0,0,0,1,0,0,0
2021-12-16,18,America/Vancouver,272.46,0.25,75.0,0,1,0,0,0,0
2021-12-16,19,America/Vancouver,272.57,0.0,40.0,0,0,1,0,0,0
2021-12-16,20,America/Vancouver,271.66,0.25,20.0,0,1,0,0,0,0
2021-12-16,21,America/Vancouver,271.05,0.0,40.0,0,0,1,0,0,0
2021-12-17,11,America/Vancouver,269.46,0.0,100.0,0,1,0,0,0,0
2021-12-17,12,America/Vancouver,269.93,0.0,100.0,0,0,0,0,1,0
2021-12-17,13,America/Vancouver,269.55,0.0,100.0,0,0,1,0,0,0
2021-12-17,14,America/Vancouver,270.23,0.35,100.0,0,1,0,0,0,0
2021-12-17,15,America/Vancouver,270.36,4.57,100.0,0,1,0,0,0,0
2021-12-17,16,America/Vancouver,270.96,38.86,100.0,0,1,0,0,0,0
2021-12-17,17,America/Vancouver,271.23,7.62,100.0,0,1,0,0,0,0
2021-12-17,18,America/Vancouver,271.32,0.51,100.0,0,1,0,0,0,0
