year,date,hour,rain_1h,feels_like,clouds_all,Clear,Clouds,Fog,Rain,Snow
2024,2024-12-23,11,0.29,280.47,75,0,0,0,1,0
2024,2024-12-23,12,0.0,281.15,75,0,1,0,0,0
2024,2024-12-23,13,0.51,282.63,100,0,0,0,1,0
2024,2024-12-23,14,0.0,282.55,100,0,1,0,0,0
2024,2024-12-23,15,0.0,281.09,100,0,1,0,0,0
2024,2024-12-23,16,0.0,279.96,75,0,1,0,0,0
2024,2024-12-23,17,0.0,279.42,75,0,1,0,0,0
2024,2024-12-23,18,0.0,279.25,100,0,1,0,0,0
2024,2024-12-23,19,0.0,278.2,100,0,1,0,0,0
2024,2024-12-23,20,0.0,279.76,100,0,1,0,0,0
2024,2024-12-23,21,0.61,282.2,100,0,0,0,1,0
2024,2024-12-24,11,0.72,282.54,75,0,0,0,1,0
2024,2024-12-24,12,0.82,283.17,75,0,0,0,1,0
2024,2024-12-24,13,0.16,283.41,75,0,0,0,1,0
2024,2024-12-24,14,0.45,282.69,75,0,0,0,1,0
2024,2024-12-24,15,1.06,282.43,88,0,0,0,1,0
2024,2024-12-24,16,0.0,281.64,29,0,1,0,0,0
2024,2024-12-24,17,0.0,278.81,75,0,1,0,0,0
2024,2024-12-24,18,0.31,277.48,75,0,0,0,1,0
2024,2024-12-24,19,0.1,278.08,75,0,0,0,1,0
2024,2024-12-24,20,0.19,277.67,75,0,0,0,1,0
2024,2024-12-24,21,0.16,277.78,75,0,0,0,1,0
2024,2024-12-25,11,0.25,275.19,100,0,0,0,1,0
2024,2024-12-25,12,0.89,274.46,100,0,0,0,1,0
2024,2024-12-25,13,4.24,274.39,100,0,0,1,1,0
2024,2024-12-25,14,3.18,273.91,100,0,0,0,1,0
2024,2024-12-25,15,2.54,273.46,100,0,0,1,1,0
2024,2024-12-25,16,3.72,273.77,100,0,0,1,1,0
2024,2024-12-25,17,2.37,273.65,100,0,0,1,1,0
2024,2024-12-25,18,1.22,273.36,100,0,0,0,1,0
2024,2024-12-25,19,0.45,273.41,100,0,0,0,1,0
2024,2024-12-25,20,1.27,274.55,100,0,0,0,1,0
2024,2024-12-25,21,0.41,274.13,100,0,0,0,1,0
2024,2024-12-26,11,0.51,274.93,100,0,0,0,1,0
2024,2024-12-26,12,0.25,275.77,75,0,0,0,1,0
2024,2024-12-26,13,0.31,277.89,75,0,0,0,1,0
2024,2024-12-26,14,0.32,277.88,75,0,0,0,1,0
2024,2024-12-26,15,0.0,278.06,20,0,1,0,0,0
2024,2024-12-26,16,0.0,278.1,20,0,1,0,0,0
2024,2024-12-26,17,0.0,276.66,20,0,1,0,0,0
2024,2024-12-26,18,0.0,276.02,20,0,1,0,0,0
2024,2024-12-26,19,0.0,276.6,75,0,1,0,0,0
2024,2024-12-26,20,0.38,276.61,75,0,0,0,1,0
2024,2024-12-26,21,0.25,276.58,75,0,0,0,1,0
2024,2024-12-27,11,0.0,279.4,40,0,1,0,0,0
2024,2024-12-27,12,0.0,280.26,75,0,1,0,0,0
2024,2024-12-27,13,0.0,279.5,75,0,1,0,0,0
2024,2024-12-27,14,0.0,278.16,100,0,1,0,0,0
2024,2024-12-27,15,0.0,278.11,100,0,1,0,0,0
2024,2024-12-27,16,0.51,276.51,100,0,0,1,1,0
2024,2024-12-27,17,0.56,275.73,100,0,0,1,1,0
2024,2024-12-27,18,0.97,275.73,100,0,0,1,1,0
2024,2024-12-27,19,0.76,276.02,100,0,0,1,1,0
2024,2024-12-27,20,0.87,275.82,100,0,0,0,1,0
2024,2024-12-27,21,0.96,275.21,100,0,0,0,1,0
2024,2024-12-28,11,0.25,277.69,75,0,0,0,1,0
2024,2024-12-28,12,0.25,278.74,75,0,0,0,1,0
2024,2024-12-28,13,1.2,279.36,75,0,0,0,1,0
2024,2024-12-28,14,0.25,280.2,75,0,0,0,1,0
2024,2024-12-28,15,0.25,282.98,40,0,0,0,1,0
