year,date,hour,rainfall,tempreture,Clear,Clouds,Fog,Rain
2024,2024-12-11,14,0.0,280.21,0,1,0,0
2024,2024-12-11,15,0.0,281.07,0,1,0,0
2024,2024-12-11,16,0.0,279.86,1,0,0,0
2024,2024-12-11,17,0.0,277.92,1,0,0,0
2024,2024-12-11,18,0.0,276.66,1,0,0,0
2024,2024-12-11,19,0.0,276.17,1,0,0,0
2024,2024-12-11,20,0.0,274.57,1,0,0,0
2024,2024-12-11,21,0.0,275.51,1,0,0,0
2024,2024-12-12,11,0.0,277.68,0,1,0,0
2024,2024-12-12,12,0.0,278.22,0,1,0,0
2024,2024-12-12,13,0.25,278.35,0,0,0,1
2024,2024-12-12,14,0.0,278.76,0,1,0,0
2024,2024-12-12,15,0.0,277.83,0,1,0,0
2024,2024-12-12,16,0.0,279.94,0,1,0,0
2024,2024-12-12,17,0.0,279.64,0,1,0,0
2024,2024-12-12,18,0.0,278.19,0,0,0,1
2024,2024-12-12,19,0.25,278.94,0,0,1,1
2024,2024-12-12,20,0.25,278.78,0,0,0,1
2024,2024-12-12,21,0.25,278.62,0,0,1,1
2024,2024-12-13,11,1.24,276.84,0,0,0,1
2024,2024-12-13,12,0.95,276.17,0,0,0,1
2024,2024-12-13,13,0.62,276.56,0,0,0,1
2024,2024-12-13,14,0.83,276.6,0,0,0,1
2024,2024-12-13,15,0.41,277.11,0,0,0,1
2024,2024-12-13,16,0.35,276.96,0,0,0,1
2024,2024-12-13,17,0.83,276.43,0,0,0,1
2024,2024-12-13,18,0.8,276.36,0,0,0,1
2024,2024-12-13,19,0.76,276.45,0,0,0,1
2024,2024-12-13,20,0.51,275.64,0,0,0,1
2024,2024-12-13,21,2.29,275.54,0,0,0,1
2024,2024-12-14,11,2.03,279.2,0,0,0,1
2024,2024-12-14,12,0.8,277.42,0,0,0,1
2024,2024-12-14,13,0.76,277.67,0,0,0,1
2024,2024-12-14,14,1.17,277.2,0,0,0,1
2024,2024-12-14,15,0.47,276.89,0,0,0,1
2024,2024-12-14,16,1.98,277.2,0,0,0,1
2024,2024-12-14,17,0.25,277.09,0,0,0,1
2024,2024-12-14,18,0.62,277.21,0,0,0,1
2024,2024-12-14,19,0.88,276.65,0,0,0,1
2024,2024-12-14,20,0.95,276.45,0,0,0,1
2024,2024-12-14,21,0.81,275.81,0,0,0,1
2024,2024-12-15,11,0.0,278.65,0,1,0,0
2024,2024-12-15,12,0.0,278.61,0,1,0,0
2024,2024-12-15,13,0.25,276.82,0,0,0,1
2024,2024-12-15,14,1.27,277.75,0,0,0,1
2024,2024-12-15,15,1.02,276.73,0,0,0,1
2024,2024-12-15,16,0.25,276.27,0,0,0,1
2024,2024-12-15,17,23.37,274.97,0,0,0,1
2024,2024-12-15,18,0.0,274.74,0,1,0,0
2024,2024-12-15,19,0.0,273.53,0,1,0,0
2024,2024-12-15,20,0.0,273.55,0,1,0,0
2024,2024-12-15,21,0.0,273.22,0,1,0,0
2024,2024-12-16,11,0.6,273.04,0,0,0,1
2024,2024-12-16,12,0.25,273.42,0,0,0,1
2024,2024-12-16,13,0.25,274.2,0,0,0,1
2024,2024-12-16,14,0.25,274.79,0,0,0,1
2024,2024-12-16,15,0.38,275.35,0,0,0,1
2024,2024-12-16,16,0.0,276.53,0,1,0,0
2024,2024-12-16,17,0.25,275.57,0,0,0,1
2024,2024-12-16,18,0.0,275.35,0,1,0,0
2024,2024-12-16,19,0.0,275.14,0,1,0,0
2024,2024-12-16,20,0.0,275.59,0,1,0,0
2024,2024-12-16,21,0.0,276.13,0,1,0,0
2024,2024-12-17,11,1.48,275.45,0,0,0,1
2024,2024-12-17,12,1.02,276.25,0,0,0,1
2024,2024-12-17,13,1.92,276.39,0,0,0,1
2024,2024-12-17,14,0.81,276.89,0,0,0,1
2024,2024-12-17,15,0.8,276.51,0,0,0,1
2024,2024-12-17,16,1.71,276.64,0,0,1,1
2024,2024-12-17,17,2.47,276.69,0,0,1,1
2024,2024-12-17,18,2.54,276.2,0,0,1,1
2024,2024-12-17,19,2.14,276.26,0,0,1,1
2024,2024-12-17,20,2.36,275.92,0,0,1,1
2024,2024-12-17,21,3.6,275.9,0,0,1,1
2024,2024-12-18,11,0.0,279.93,0,1,0,0
2024,2024-12-18,12,0.0,282.43,0,1,0,0
2024,2024-12-18,13,0.0,282.96,0,1,0,0
2024,2024-12-18,14,0.0,283.69,0,1,0,0
2024,2024-12-18,15,0.0,282.95,0,1,0,0
2024,2024-12-18,16,0.0,282.44,0,1,0,0
2024,2024-12-18,17,0.0,280.22,0,1,0,0
2024,2024-12-18,18,0.0,281.04,0,1,0,0
2024,2024-12-18,19,0.0,279.61,0,1,0,0
2024,2024-12-18,20,0.0,281.45,0,1,0,0
2024,2024-12-18,21,0.0,278.78,0,1,0,0
2024,2024-12-19,11,0.25,280.67,0,0,0,1
2024,2024-12-19,12,0.37,279.24,0,0,0,1
2024,2024-12-19,13,1.07,279.5,0,0,0,1
2024,2024-12-19,14,0.43,279.94,0,0,0,1
2024,2024-12-19,15,0.41,281.48,0,0,0,1
2024,2024-12-19,16,0.91,281.04,0,0,0,1
2024,2024-12-19,17,2.29,280.37,0,0,0,1
2024,2024-12-19,18,2.65,279.1,0,0,0,1
2024,2024-12-19,19,1.82,279.47,0,0,0,1
2024,2024-12-19,20,0.89,280.63,0,0,0,1
2024,2024-12-19,21,0.51,282.85,0,0,0,1
2024,2024-12-20,11,0.72,282.91,0,0,0,1
2024,2024-12-20,12,0.42,283.16,0,0,0,1
2024,2024-12-20,13,0.32,283.64,0,0,0,1
2024,2024-12-20,14,0.25,283.52,0,0,0,1
2024,2024-12-20,15,0.55,281.37,0,0,0,1
2024,2024-12-20,16,0.45,283.16,0,0,0,1
2024,2024-12-20,17,0.56,283.28,0,0,0,1
2024,2024-12-20,18,0.38,283.06,0,0,0,1
2024,2024-12-20,19,0.0,282.83,0,1,0,0
2024,2024-12-20,20,0.25,282.76,0,0,0,1
2024,2024-12-20,21,0.0,280.46,0,1,0,0
2024,2024-12-21,11,0.71,279.32,0,0,0,1
2024,2024-12-21,12,2.03,281.18,0,0,0,1
2024,2024-12-21,13,1.52,279.97,0,0,0,1
2024,2024-12-21,14,0.91,282.66,0,0,0,1
2024,2024-12-21,15,0.34,280.68,0,0,0,1
2024,2024-12-21,16,0.46,280.15,0,0,0,1
2024,2024-12-21,17,0.3,279.41,0,0,0,1
2024,2024-12-21,18,0.46,279.05,0,0,0,1
2024,2024-12-21,19,0.23,280.89,0,0,0,1
2024,2024-12-21,20,0.6,277.95,0,0,0,1
2024,2024-12-21,21,0.25,277.74,0,0,0,1
2024,2024-12-22,11,0.25,278.9,0,0,0,1
2024,2024-12-22,12,1.52,277.36,0,0,0,1
2024,2024-12-22,13,1.23,277.15,0,0,0,1
