date,hour,bill,pax,amount,amt_percentage
2025/02/03,19,2,0,15.0,3.04
2025/02/03,20,0,0,0.0,0.0
2025/02/03,21,0,0,0.0,0.0
2025/02/03,22,0,0,0.0,0.0
2025/02/03,23,0,0,0.0,0.0
2025/02/04,00,0,0,0.0,0.0
2025/02/04,01,0,0,0.0,0.0
2025/02/04,02,0,0,0.0,0.0
2025/02/04,03,0,0,0.0,0.0
2025/02/04,04,0,0,0.0,0.0
2025/02/04,05,0,0,0.0,0.0
2025/02/04,06,0,0,0.0,0.0
2025/02/04,07,0,0,0.0,0.0
2025/02/04,08,0,0,0.0,0.0
2025/02/04,09,0,0,0.0,0.0
2025/02/04,10,0,0,0.0,0.0
2025/02/04,11,2,0,31.49,5.38
2025/02/04,12,0,0,25.88,4.43
2025/02/04,13,12,0,129.97,22.24
2025/02/04,14,7,0,66.26,11.34
2025/02/04,15,5,0,36.95,6.32
2025/02/04,16,3,0,33.39,5.71
2025/02/04,17,4,0,39.47,6.75
2025/02/04,18,8,0,85.63,14.65
2025/02/04,19,10,0,120.42,20.61
2025/02/04,20,1,0,15.0,2.57
2025/02/04,21,0,0,0.0,0.0
2025/02/04,22,0,0,0.0,0.0
2025/02/04,23,0,0,0.0,0.0
2025/02/05,00,0,0,0.0,0.0
2025/02/05,01,0,0,0.0,0.0
2025/02/05,02,0,0,0.0,0.0
2025/02/05,03,0,0,0.0,0.0
2025/02/05,04,0,0,0.0,0.0
2025/02/05,05,0,0,0.0,0.0
2025/02/05,06,0,0,0.0,0.0
2025/02/05,07,0,0,0.0,0.0
2025/02/05,08,0,0,0.0,0.0
2025/02/05,09,0,0,0.0,0.0
2025/02/05,10,0,0,0.0,0.0
2025/02/05,11,6,0,68.11,10.5
2025/02/05,12,7,0,69.02,10.64
2025/02/05,13,2,0,36.6,5.64
2025/02/05,14,5,0,62.19,9.58
2025/02/05,15,10,0,82.64,12.74
2025/02/05,16,6,0,125.92,19.4
2025/02/05,17,4,0,40.1,6.18
2025/02/05,18,4,0,60.95,9.39
2025/02/05,19,8,0,96.12,14.81
2025/02/05,20,1,0,7.25,1.12
2025/02/05,21,0,0,0.0,0.0
2025/02/05,22,0,0,0.0,0.0
2025/02/05,23,0,0,0.0,0.0
2025/02/06,00,0,0,0.0,0.0
2025/02/06,01,0,0,0.0,0.0
2025/02/06,02,0,0,0.0,0.0
2025/02/06,03,0,0,0.0,0.0
2025/02/06,04,0,0,0.0,0.0
2025/02/06,05,0,0,0.0,0.0
2025/02/06,06,0,0,0.0,0.0
2025/02/06,07,0,0,0.0,0.0
2025/02/06,08,0,0,0.0,0.0
2025/02/06,09,0,0,0.0,0.0
2025/02/06,10,0,0,0.0,0.0
2025/02/06,11,6,0,99.4,10.8
2025/02/06,12,1,0,7.45,0.81
2025/02/06,13,11,0,99.23,10.78
2025/02/06,14,6,0,66.83,7.26
2025/02/06,15,15,0,147.19,15.99
2025/02/06,16,8,0,115.49,12.55
2025/02/06,17,10,0,102.85,11.17
2025/02/06,18,8,0,126.57,13.75
2025/02/06,19,8,0,111.3,12.09
2025/02/06,20,5,0,44.1,4.79
2025/02/06,21,0,0,0.0,0.0
2025/02/06,22,0,0,0.0,0.0
2025/02/06,23,0,0,0.0,0.0
2025/02/07,00,0,0,0.0,0.0
2025/02/07,01,0,0,0.0,0.0
2025/02/07,02,0,0,0.0,0.0
2025/02/07,03,0,0,0.0,0.0
2025/02/07,04,0,0,0.0,0.0
2025/02/07,05,0,0,0.0,0.0
2025/02/07,06,0,0,0.0,0.0
2025/02/07,07,0,0,0.0,0.0
2025/02/07,08,0,0,0.0,0.0
2025/02/07,09,0,0,0.0,0.0
2025/02/07,10,1,0,0.0,0.0
2025/02/07,11,7,0,65.01,7.56
2025/02/07,12,3,0,37.48,4.36
2025/02/07,13,7,0,117.86,13.7
2025/02/07,14,7,0,84.95,9.87
2025/02/07,15,8,0,54.8,6.37
2025/02/07,16,8,0,76.49,8.89
2025/02/07,17,6,0,71.53,8.31
2025/02/07,18,9,0,90.07,10.47
2025/02/07,19,8,0,116.21,13.51
2025/02/07,20,6,0,57.46,6.68
2025/02/07,21,6,0,88.44,10.28
2025/02/07,22,0,0,0.0,0.0
2025/02/07,23,0,0,0.0,0.0
2025/02/20,00,0,0,0.0,0.0
2025/02/20,01,0,0,0.0,0.0
2025/02/20,02,0,0,0.0,0.0
2025/02/20,03,0,0,0.0,0.0
2025/02/20,04,0,0,0.0,0.0
2025/02/20,05,0,0,0.0,0.0
2025/02/20,06,0,0,0.0,0.0
