year,date,hour,rain_1h,feels_like,clouds_all,Clear,Clouds,Fog,Rain
2025,2025-02-10,17,0.0,272.22,0,1,0,0,0
2025,2025-02-10,18,0.0,271.68,20,0,1,0,0
2025,2025-02-10,19,0.0,268.36,0,1,0,0,0
2025,2025-02-10,20,0.0,266.41,0,1,0,0,0
2025,2025-02-10,21,0.0,266.9,0,1,0,0,0
2025,2025-02-11,11,0.0,269.94,20,0,1,0,0
2025,2025-02-11,12,0.0,271.61,20,0,1,0,0
2025,2025-02-11,13,0.0,270.34,20,0,1,0,0
2025,2025-02-11,14,0.0,272.22,2,1,0,0,0
2025,2025-02-11,15,0.0,271.83,4,1,0,0,0
2025,2025-02-11,16,0.0,272.95,0,0,0,0,1
2025,2025-02-11,17,0.0,272.08,0,1,0,0,0
2025,2025-02-11,18,0.0,271.88,0,1,0,0,0
2025,2025-02-11,19,0.0,269.83,0,1,0,0,0
2025,2025-02-11,20,0.0,268.03,0,1,0,0,0
2025,2025-02-11,21,0.0,268.68,0,1,0,0,0
2025,2025-02-12,11,0.0,272.38,0,1,0,0,0
2025,2025-02-12,12,0.0,272.79,20,0,1,0,0
2025,2025-02-12,13,0.0,275.19,20,0,1,0,0
2025,2025-02-12,14,0.25,275.08,0,0,0,0,1
2025,2025-02-12,15,0.0,274.91,0,1,0,0,0
2025,2025-02-12,16,0.0,272.98,0,1,0,0,0
2025,2025-02-12,17,0.0,272.28,0,1,0,0,0
2025,2025-02-12,18,0.0,271.09,20,0,1,0,0
2025,2025-02-12,19,0.0,269.86,20,0,1,0,0
2025,2025-02-12,20,0.0,269.32,55,0,1,0,0
2025,2025-02-12,21,0.0,268.5,82,0,1,0,0
2025,2025-02-13,11,0.0,275.64,75,0,1,0,0
2025,2025-02-13,12,0.0,274.03,75,0,1,0,0
2025,2025-02-13,13,0.0,275.62,100,0,1,0,0
2025,2025-02-13,14,0.0,273.88,75,0,1,0,0
2025,2025-02-13,15,0.25,273.61,100,0,0,0,1
2025,2025-02-13,16,0.0,274.04,100,0,1,0,0
2025,2025-02-13,17,0.0,272.98,75,0,1,0,0
2025,2025-02-13,18,0.0,273.88,100,0,1,0,0
2025,2025-02-13,19,0.0,272.85,75,0,1,0,0
2025,2025-02-13,20,0.0,271.61,20,0,1,0,0
2025,2025-02-13,21,0.0,271.54,75,0,1,0,0
2025,2025-02-14,11,0.0,275.52,20,0,1,0,0
2025,2025-02-14,12,0.0,277.33,20,0,1,0,0
2025,2025-02-14,13,0.0,277.64,20,0,1,0,0
2025,2025-02-14,14,0.0,277.77,20,0,1,0,0
2025,2025-02-14,15,0.0,278.05,40,0,1,0,0
2025,2025-02-14,16,0.0,277.1,40,0,1,0,0
2025,2025-02-14,17,0.0,275.24,20,0,1,0,0
2025,2025-02-14,18,0.0,274.04,20,0,1,0,0
2025,2025-02-14,19,0.11,273.77,75,0,0,0,1
2025,2025-02-14,20,0.0,273.62,40,0,1,0,0
2025,2025-02-14,21,0.25,272.45,75,0,0,0,1
2025,2025-02-15,11,0.25,273.51,100,0,0,0,1
2025,2025-02-15,12,0.3,273.26,100,0,0,0,1
2025,2025-02-15,13,0.34,273.8,100,0,0,0,1
2025,2025-02-15,14,0.25,274.75,100,0,0,0,1
2025,2025-02-15,15,0.25,273.56,100,0,0,0,1
2025,2025-02-15,16,0.31,273.71,100,0,0,0,1
2025,2025-02-15,17,0.17,273.46,100,0,0,0,1
2025,2025-02-15,18,0.19,274.82,100,0,0,0,1
2025,2025-02-15,19,0.58,273.74,100,0,0,0,1
2025,2025-02-15,20,0.47,272.99,100,0,0,0,1
2025,2025-02-15,21,0.51,271.53,100,0,0,0,1
2025,2025-02-16,11,0.51,274.62,100,0,0,1,1
2025,2025-02-16,12,0.68,275.59,100,0,0,1,1
2025,2025-02-16,13,0.47,276.33,100,0,0,0,1
2025,2025-02-16,14,0.25,276.8,100,0,0,0,1
2025,2025-02-16,15,0.94,276.76,75,0,0,0,1
2025,2025-02-16,16,0.24,277.06,100,0,0,0,1
2025,2025-02-16,17,0.14,276.74,100,0,0,0,1
2025,2025-02-16,18,0.0,276.69,100,0,1,0,0
2025,2025-02-16,19,0.0,277.36,100,0,1,0,0
2025,2025-02-16,20,0.17,276.8,100,0,0,0,1
2025,2025-02-16,21,0.51,276.13,100,0,0,0,1
2025,2025-02-17,11,0.0,277.76,100,0,1,0,0
2025,2025-02-17,12,0.0,278.93,100,0,1,0,0
2025,2025-02-17,13,0.0,278.26,75,0,1,0,0
2025,2025-02-17,14,0.0,277.95,40,0,1,0,0
2025,2025-02-17,15,0.0,277.63,75,0,1,0,0
2025,2025-02-17,16,0.0,277.87,40,0,1,0,0
2025,2025-02-17,17,0.0,277.85,75,0,1,0,0
2025,2025-02-17,18,0.0,278.27,83,0,1,0,0
2025,2025-02-17,19,0.0,279.22,83,0,1,0,0
2025,2025-02-17,20,0.0,277.66,20,0,1,0,0
2025,2025-02-17,21,0.0,275.89,20,0,1,0,0
2025,2025-02-18,11,0.0,277.27,100,0,1,0,0
2025,2025-02-18,12,0.25,278.14,100,0,0,0,1
2025,2025-02-18,13,0.0,278.78,75,0,0,0,1
2025,2025-02-18,14,0.0,279.11,100,0,0,0,1
2025,2025-02-18,15,0.0,279.49,92,0,1,0,0
2025,2025-02-18,16,0.0,280.17,100,0,0,0,1
2025,2025-02-18,17,0.0,279.35,100,0,1,0,0
2025,2025-02-18,18,0.25,278.54,100,0,0,0,1
2025,2025-02-18,19,0.0,278.22,100,0,1,0,0
2025,2025-02-18,20,0.0,278.64,100,0,1,0,0
2025,2025-02-18,21,0.0,278.6,100,0,1,0,0
2025,2025-02-19,11,0.3,278.65,75,0,0,0,1
2025,2025-02-19,12,0.89,278.15,75,0,0,0,1
2025,2025-02-19,13,0.83,278.13,75,0,0,0,1
2025,2025-02-19,14,0.89,278.31,75,0,0,0,1
2025,2025-02-19,15,1.82,278.34,100,0,0,0,1
2025,2025-02-19,16,1.49,277.93,75,0,0,0,1
2025,2025-02-19,17,1.68,277.97,75,0,0,0,1
2025,2025-02-19,18,0.66,277.9,75,0,0,0,1
2025,2025-02-19,19,0.64,277.77,100,0,0,0,1
2025,2025-02-19,20,1.14,277.45,100,0,0,0,1
2025,2025-02-19,21,1.32,277.19,100,0,0,0,1
2025,2025-02-20,11,0.32,278.06,100,0,0,0,1
2025,2025-02-20,12,0.23,278.16,100,0,0,0,1
2025,2025-02-20,13,0.25,278.38,100,0,0,0,1
